"phenomenon","severity","start_year","end_year","total_deforested_area","total_firespots"
La Nina,Strong,1999,2000,,111026
El Nino,Moderate,2002,2003,,448273
La Nina,Weak,2000,2001,,117843
El Nino,Weak,2004,2005,9684702,864714
La Nina,Weak,2005,2006,6759900,716284
El Nino,Weak,2006,2007,5291148,661804
La Nina,Strong,2007,2008,5035210,579866
La Nina,Weak,2008,2009,4156500,370270
El Nino,Weak,2018,2019,3597984,312960
La Nina,Weak,2016,2017,3071880,390400
La Nina,Weak,2017,2018,2997981,351568
El Nino,Moderate,2009,2010,2979584,432592
El Nino,Very Strong,2015,2016,2961000,388398
La Nina,Strong,2010,2011,2737272,385600
El Nino,Weak,2014,2015,2322333,377984
La Nina,Moderate,2011,2012,2252745,289810
